category,price,seller_id,seller_rating,reviews_count,product_rating,image_count,is_verified_seller,discount,shipping_days,Label
Watches,448.88,S777,3.5,3934,1.8,1,TRUE,21,11,Fake
Footwear,560.41,S556,1.2,3602,2.9,2,FALSE,72,1,Fake
Footwear,1367.1,S926,1.3,3179,3.2,5,FALSE,35,9,Fake
Clothing,381.74,S567,1.2,2952,3.8,3,FALSE,59,9,Fake
Footwear,774.79,S985,4.1,72,2.9,2,TRUE,76,13,Fake
Footwear,1238.22,S506,3.3,60,3,3,FALSE,38,11,Fake
Watches,1307.57,S254,1.5,1640,2.4,5,FALSE,18,6,Fake
Electronics,1316.05,S361,4.1,398,3.4,1,TRUE,83,14,Fake
Watches,917.41,S896,2.1,4285,4.9,3,FALSE,37,3,Fake
Watches,1035.42,S592,2.3,22,1.1,1,TRUE,73,11,Fake
Electronics,121.82,S840,1.4,2096,3.6,4,FALSE,33,8,Fake
Clothing,542.72,S548,4.8,2197,4.5,1,FALSE,43,3,Fake
Clothing,629.88,S704,2.9,4660,3.7,2,FALSE,45,10,Fake
Home,1279.29,S990,1.7,4027,2.3,3,FALSE,6,9,Fake
Electronics,1141.39,S327,1,2909,4.3,3,FALSE,89,2,Fake
Watches,691,S900,1.8,2768,1.4,4,TRUE,81,14,Fake
Watches,215.89,S716,3.8,4196,2.2,5,FALSE,70,11,Fake
Home,878.38,S783,3.8,4373,2.1,4,TRUE,66,2,Fake
Electronics,119.14,S282,4.2,4571,1.3,2,FALSE,52,7,Fake
Electronics,242.92,S325,1.5,3203,4.2,5,FALSE,81,3,Fake
Footwear,1124.96,S843,2.4,3380,4.6,5,TRUE,20,3,Fake
Footwear,180.79,S787,4.2,445,4.4,5,FALSE,82,9,Fake
Electronics,156.32,S843,3.3,2710,2.4,2,TRUE,36,10,Fake
Clothing,733.93,S436,3.5,2504,3.8,2,FALSE,40,7,Fake
Footwear,1180.63,S829,4,3572,2.1,3,TRUE,86,12,Fake
Home,402.22,S741,1.3,617,4.6,5,TRUE,74,10,Fake
Watches,103.66,S478,1.9,1693,3.1,3,FALSE,60,15,Fake
Electronics,1471.08,S431,1.4,4271,3.5,3,FALSE,74,9,Fake
Footwear,1191.06,S718,1,1138,2.8,2,TRUE,65,11,Fake
Electronics,788.84,S616,3.7,1225,3.4,2,FALSE,78,10,Fake
Watches,105.48,S327,2.5,4989,1.2,4,FALSE,78,11,Fake
Home,1157.25,S875,2.4,3758,3.7,5,TRUE,61,2,Fake
Watches,691.22,S223,3.8,3768,2.3,1,TRUE,86,4,Fake
Electronics,548.79,S982,2,4493,2.1,3,FALSE,78,6,Fake
Watches,323.69,S817,4,2990,4.4,3,FALSE,23,10,Fake
Home,603.62,S807,1.7,1765,4.3,4,TRUE,57,12,Fake
Home,1469.27,S391,2.4,4181,2.9,4,TRUE,48,10,Fake
Footwear,1068.55,S719,3.6,2222,4.6,3,FALSE,52,3,Fake
Watches,351.74,S855,2.1,1035,1.5,2,TRUE,4,11,Fake
Home,1213.29,S801,2.1,4357,4.2,4,TRUE,8,3,Fake
Electronics,930.42,S378,3.8,4030,1.8,1,TRUE,6,9,Fake
Footwear,947.45,S143,4,4502,3.1,3,FALSE,81,5,Fake
Electronics,1460.18,S341,3.5,2658,1.1,3,TRUE,50,13,Fake
Home,1396.96,S877,3.5,489,2.4,2,TRUE,16,8,Fake
Watches,790.86,S609,4.1,1262,3.5,3,FALSE,82,6,Fake
Home,75.23,S232,1.7,256,1.8,4,TRUE,12,1,Fake
Electronics,1474.61,S710,1.1,1106,5,3,TRUE,38,4,Fake
Clothing,404.83,S696,2,2099,4.2,1,FALSE,72,15,Fake
Home,826.75,S368,1.3,4110,2.7,2,TRUE,61,9,Fake
Clothing,1390.83,S989,4.3,2356,1.1,1,FALSE,57,8,Fake
Watches,1360,S639,1.2,1395,1.2,2,FALSE,6,8,Fake
Electronics,589.08,S377,3.7,2950,4.5,1,FALSE,83,7,Fake
Watches,1390.26,S122,1.2,4336,2.2,4,FALSE,20,1,Fake
Watches,758.46,S719,2.9,3063,1.7,4,FALSE,60,3,Fake
Home,599.46,S852,1.2,3173,3.1,1,TRUE,37,8,Fake
Footwear,697.41,S532,2.2,446,3.8,2,FALSE,82,8,Fake
Home,277.86,S699,4.8,4476,1.5,4,FALSE,57,1,Fake
Footwear,790.49,S493,3.9,4191,3.4,2,FALSE,70,7,Fake
Electronics,491,S488,4.3,3500,4.4,1,FALSE,60,3,Fake
Footwear,917.18,S424,2,4711,5,3,TRUE,78,10,Fake
Home,699.08,S933,2.7,458,4.3,3,FALSE,71,9,Fake
Home,1201.31,S914,2.4,1223,2.1,1,FALSE,48,11,Fake
Clothing,683.34,S409,1.9,2476,1.7,3,TRUE,25,15,Fake
Home,506.6,S147,1.4,2559,1.1,3,TRUE,41,4,Fake
Electronics,818.37,S662,2.3,1159,4.8,3,TRUE,21,2,Fake
Footwear,671.03,S233,1.1,413,1.4,1,TRUE,54,7,Fake
Home,947.91,S806,3.8,2913,2.2,2,TRUE,59,10,Fake
Watches,1052.43,S781,2.3,2660,2.8,1,TRUE,60,2,Fake
Home,1178.63,S545,3.3,2803,3.2,2,TRUE,84,11,Fake
Home,180.34,S710,2.9,4547,1.4,4,TRUE,39,7,Fake
Electronics,1159.3,S488,2.3,503,1.4,2,TRUE,18,11,Fake
Footwear,1079.51,S452,5,4773,1,5,FALSE,16,14,Fake
Watches,1231.91,S493,2.4,1522,2.7,1,FALSE,30,12,Fake
Home,637.31,S917,2.2,1372,1.1,5,FALSE,72,5,Fake
Home,1278.65,S384,2,2301,2.1,3,TRUE,14,10,Fake
Clothing,870.86,S962,2.4,2165,4,1,TRUE,21,8,Fake
Watches,1377.88,S978,2.1,2214,2.1,1,FALSE,83,10,Fake
Clothing,1158.04,S632,2.3,1473,2.3,1,TRUE,8,1,Fake
Home,1031.39,S459,1.9,2320,2,1,TRUE,79,2,Fake
Home,1345.04,S812,1.7,2413,2.9,1,FALSE,35,13,Fake
Footwear,251.33,S175,2.1,511,2.5,3,TRUE,33,14,Fake
Home,1369.79,S832,2,285,1.3,5,FALSE,57,1,Fake
Electronics,738.45,S119,2.9,375,2,2,TRUE,22,11,Fake
Clothing,893.7,S443,1.3,2243,1.6,4,TRUE,89,6,Fake
Watches,1389.26,S141,1.5,3081,4.1,1,FALSE,10,1,Fake
Footwear,16.81,S341,1.8,4343,4.9,5,FALSE,69,9,Fake
Clothing,384.56,S731,4.2,3712,1.2,1,TRUE,20,13,Fake
Electronics,1418.53,S790,2.5,422,1.4,3,FALSE,79,1,Fake
Home,1132.23,S879,1.9,2889,4.6,5,FALSE,35,1,Fake
Electronics,1338.94,S568,1.3,3200,4.6,3,TRUE,13,3,Fake
Home,281.6,S279,4.4,1257,1.6,1,TRUE,40,10,Fake
Clothing,542.52,S434,1.2,1598,3.3,2,FALSE,25,1,Fake
Watches,1464,S503,1.8,2603,3.4,5,TRUE,85,6,Fake
Watches,440.06,S925,3.9,3472,3.9,4,TRUE,75,10,Fake
Clothing,717.17,S988,3.1,2747,1.3,5,FALSE,11,1,Fake
Footwear,270.59,S573,3.8,1121,1.8,4,FALSE,70,8,Fake
Electronics,252.64,S159,1.6,3776,4.5,2,FALSE,20,1,Fake
Clothing,924.01,S951,4.8,4358,3.9,1,FALSE,58,15,Fake
Electronics,201.78,S810,1.6,1856,2.2,2,TRUE,10,7,Fake
Electronics,1270.33,S384,4.8,2849,2.4,5,TRUE,64,10,Fake
Home,797.97,S832,1.8,2308,1.7,5,TRUE,12,15,Fake
Home,556.03,S703,1.7,879,1.7,3,FALSE,54,4,Fake
Watches,1144.5,S421,1.5,903,3.1,4,FALSE,90,5,Fake
Home,192.92,S958,2.7,4088,2.1,5,FALSE,82,7,Fake
Home,1481.41,S623,2.1,3724,1.4,3,FALSE,63,4,Fake
Home,818.23,S928,4.4,4477,1.1,1,FALSE,15,7,Fake
Watches,694.89,S133,1.7,2482,4.5,2,FALSE,55,3,Fake
Home,593.16,S606,3.4,3094,3.5,3,FALSE,41,1,Fake
Electronics,1257.03,S457,4.2,4783,1.1,3,FALSE,12,7,Fake
Footwear,853.98,S643,2.9,1718,2.4,1,FALSE,64,13,Fake
Home,552.77,S251,2,2459,4.4,4,FALSE,8,11,Fake
Watches,1237.33,S761,1.6,4925,1.9,2,TRUE,19,4,Fake
Footwear,272.22,S972,1.2,3980,4.1,1,TRUE,40,10,Fake
Electronics,1050.74,S618,1.3,3447,3.4,5,FALSE,58,12,Fake
Electronics,948.93,S910,3.6,25,2.6,3,FALSE,73,2,Fake
Watches,186.58,S830,1.8,2180,2.2,4,FALSE,16,7,Fake
Clothing,1065.6,S853,3.4,598,1.4,1,TRUE,42,15,Fake
Clothing,71.28,S283,2,4126,3,3,FALSE,16,2,Fake
Home,500.85,S144,3.6,3711,2.3,5,TRUE,27,14,Fake
Footwear,205.62,S781,1.4,3010,3.1,4,FALSE,49,8,Fake
Watches,231.42,S230,3.7,2460,4.4,5,FALSE,37,10,Fake
Watches,1091.61,S410,3.5,2955,3.8,4,FALSE,11,3,Fake
Watches,39.25,S560,3.3,1649,2.2,4,TRUE,42,1,Fake
Watches,747.24,S761,2.4,3573,1.1,3,TRUE,60,6,Fake
Electronics,1253.87,S585,2.4,4137,1.7,3,FALSE,53,6,Fake
Clothing,1132.28,S642,2.7,1869,1.6,4,FALSE,52,15,Fake
Home,1416.17,S553,1.6,81,3.9,5,TRUE,10,6,Fake
Home,1138,S263,1.1,4423,3.4,2,FALSE,54,9,Fake
Home,1074.38,S632,4,862,2.3,5,TRUE,46,8,Fake
Watches,972.42,S986,1.7,203,3.3,3,TRUE,82,9,Fake
Clothing,419.69,S310,2,4747,2.8,5,FALSE,51,10,Fake
Electronics,661.16,S524,1.1,4324,2.3,3,TRUE,14,2,Fake
Footwear,282.18,S886,1.4,2513,4.8,2,TRUE,78,6,Fake
Home,744.54,S870,3,942,2.1,3,FALSE,70,7,Fake
Electronics,313.15,S245,2.5,1377,4.1,5,FALSE,71,8,Fake
Watches,440.98,S271,1,3950,2.1,3,FALSE,44,14,Fake
Home,1318.64,S315,3.4,2607,4.5,3,FALSE,90,8,Fake
Footwear,323.83,S713,2.3,1095,3.6,1,FALSE,0,15,Fake
Footwear,1242.93,S466,2.5,69,1.5,3,TRUE,56,1,Fake
Electronics,965.04,S765,1.2,2646,2.7,4,FALSE,15,11,Fake
Watches,780.71,S144,4.5,1839,1.2,4,FALSE,40,1,Fake
Footwear,1321.35,S927,1.1,1848,4.9,4,TRUE,31,4,Fake
Footwear,942.73,S199,1.1,3538,4.2,5,FALSE,32,4,Fake
Clothing,1250.45,S941,2.3,1939,4.8,5,FALSE,12,11,Fake
Electronics,780.65,S701,1.8,841,1,1,TRUE,73,3,Fake
Home,989.94,S248,1.2,4154,4.3,5,TRUE,54,6,Fake
Home,633.86,S266,1.4,345,3,1,TRUE,88,4,Fake
Footwear,1463.21,S303,1.8,1426,1.9,3,TRUE,43,14,Fake
Clothing,42.02,S963,2,828,1.1,2,FALSE,83,13,Fake
Footwear,464.56,S345,2.5,3050,3.6,5,FALSE,8,2,Fake
Home,1186.49,S435,2,2294,4.5,5,FALSE,26,12,Fake
Watches,599.89,S413,2.7,3089,3.3,3,FALSE,70,2,Fake
Electronics,672.31,S460,1.9,337,2.9,5,FALSE,54,8,Fake
Watches,1208.71,S424,2.1,202,1.7,2,FALSE,82,2,Fake
Home,22.72,S406,2.1,2839,4.1,4,FALSE,74,13,Fake
Home,1086.54,S572,2.4,703,2.3,2,FALSE,89,7,Fake
Watches,54.86,S242,3.3,1051,2.2,1,FALSE,84,14,Fake
Clothing,644.32,S870,2.6,4404,2.2,5,TRUE,72,13,Fake
Clothing,1241.45,S717,3,1529,1.8,4,FALSE,26,4,Fake
Home,687.45,S477,3.1,1407,2.3,4,FALSE,20,2,Fake
Home,621.04,S268,2,4145,1.2,1,TRUE,81,12,Fake
Watches,522.05,S508,4.4,3249,1.2,3,TRUE,90,15,Fake
Footwear,666.58,S282,1.9,282,4.6,5,TRUE,56,12,Fake
Electronics,978.42,S477,1.2,1790,2.6,5,FALSE,13,12,Fake
Electronics,41.61,S877,4.6,2530,1.9,4,TRUE,79,2,Fake
Footwear,451.96,S255,2.5,310,2,5,FALSE,42,3,Fake
Footwear,868.87,S750,1.8,3941,1.3,3,FALSE,48,3,Fake
Electronics,1398.87,S266,1.8,3574,4.8,3,FALSE,81,12,Fake
Electronics,1390.51,S853,2,3913,1.1,3,TRUE,89,11,Fake
Footwear,688.65,S797,1.6,2026,3.4,2,TRUE,14,13,Fake
Clothing,568.23,S820,1.5,3985,1.7,1,FALSE,72,14,Fake
Clothing,446.76,S486,1.5,526,2.4,5,TRUE,61,8,Fake
Watches,625.56,S292,1,2639,1.1,3,TRUE,41,11,Fake
Watches,1108.01,S418,1.2,4387,1.8,4,FALSE,40,13,Fake
Clothing,596.72,S234,2.3,4754,4.5,1,FALSE,58,11,Fake
Watches,1035.1,S276,3.6,3075,4.1,1,FALSE,83,7,Fake
Home,417.85,S863,1.4,4856,1.7,4,FALSE,38,10,Fake
Clothing,836.54,S919,2.3,320,1.5,2,TRUE,11,9,Fake
Home,992.14,S555,1.6,4017,3.8,5,FALSE,77,9,Fake
Electronics,363.28,S292,1.6,1763,4.8,5,TRUE,75,6,Fake
Watches,48.61,S718,2,2212,1.5,1,FALSE,8,6,Fake
Electronics,794.45,S996,2.2,4010,1.4,3,FALSE,70,5,Fake
Electronics,483.81,S869,2.6,2827,4.2,5,FALSE,61,10,Fake
Clothing,633.18,S568,1.7,2899,4.2,5,FALSE,35,7,Fake
Home,270.47,S475,4.4,4208,2.4,1,FALSE,63,7,Fake
Electronics,1371.93,S355,4.3,965,2.2,4,FALSE,33,4,Fake
Footwear,927.14,S436,2.2,877,1,2,FALSE,45,1,Fake
Clothing,537.07,S544,1,1625,1.4,3,TRUE,17,7,Fake
Footwear,248.87,S303,4.8,2177,1.5,4,FALSE,87,12,Fake
Electronics,87.54,S949,2.4,4891,3.9,4,FALSE,37,5,Fake
Electronics,1485.69,S249,2.7,1635,1.4,1,FALSE,52,9,Fake
Clothing,510.9,S590,1.2,3498,3.6,3,TRUE,34,6,Fake
Footwear,377.98,S148,1.7,4,1.2,3,TRUE,36,8,Fake
Clothing,547.25,S929,2.4,4824,3.1,3,TRUE,83,5,Fake
Electronics,1413.31,S733,2.4,3884,5,2,TRUE,5,3,Fake
Home,1338.46,S877,4.4,4590,4.9,3,FALSE,80,12,Fake
Watches,729.4,S636,4.7,4127,4.2,2,FALSE,89,3,Fake
Watches,1171.26,S510,3.4,1695,1.7,2,TRUE,75,12,Fake
Home,760.69,S837,3.1,2485,4.4,3,FALSE,70,2,Fake
Electronics,280.46,S289,4.3,1442,1.8,4,TRUE,82,5,Fake
Clothing,1369.13,S124,1.9,3157,1.6,3,TRUE,87,7,Fake
Footwear,591.99,S838,4.2,3919,4.3,1,FALSE,35,3,Fake
Clothing,98.77,S457,2.4,1141,2.2,2,FALSE,31,4,Fake
Electronics,184.68,S812,3.8,3092,3.9,4,FALSE,6,12,Fake
Home,720.47,S708,4.5,247,1.6,2,TRUE,31,2,Fake
Watches,412.18,S206,1.3,4941,4.1,3,TRUE,30,5,Fake
Electronics,325.75,S111,4,2532,1.8,2,TRUE,30,5,Fake
Home,76.86,S909,2.9,393,2.3,3,TRUE,45,13,Fake
Electronics,1429.7,S337,4.5,1153,4.1,2,FALSE,57,13,Fake
Footwear,938.97,S541,1.2,3175,2,5,TRUE,19,10,Fake
Watches,137.88,S849,1.4,3251,4.1,2,FALSE,42,2,Fake
Footwear,56.67,S715,4.1,511,4.7,3,FALSE,60,4,Fake
Watches,329.02,S365,1.7,440,1.4,4,FALSE,38,3,Fake
Clothing,1297.81,S216,4.2,3329,2.1,1,FALSE,16,11,Fake
Watches,1410.03,S900,1.9,2323,2.1,3,FALSE,53,11,Fake
Watches,838.05,S500,1.8,3222,4.3,5,FALSE,16,11,Fake
Clothing,1357.22,S629,1.6,1892,1.4,2,TRUE,80,10,Fake
Footwear,807.77,S351,3.9,3097,4.1,1,FALSE,10,15,Fake
Electronics,1301.74,S213,2.8,4881,1.5,2,FALSE,33,15,Fake
Electronics,1034.13,S484,4.6,3693,4.2,2,FALSE,1,15,Fake
Electronics,913.11,S648,1.1,4192,4,2,FALSE,14,15,Fake
Footwear,163.31,S912,4.1,2552,1.7,2,FALSE,55,15,Fake
Electronics,259.2,S134,4.8,2073,3.3,3,FALSE,50,1,Fake
Footwear,1188.44,S466,2,1762,3.6,3,TRUE,40,2,Fake
Clothing,1206.06,S610,1.2,2248,2.7,1,FALSE,21,10,Fake
Electronics,1377.87,S140,2.3,133,1.3,1,FALSE,38,5,Fake
Footwear,128.85,S893,2.3,385,2.6,4,FALSE,82,15,Fake
Footwear,163.09,S329,1.2,85,1.6,3,FALSE,28,3,Fake
Footwear,1189.53,S488,2.1,1395,4.7,5,FALSE,15,3,Fake
Footwear,346.49,S370,4.1,678,2.4,2,TRUE,88,2,Fake
Watches,326.59,S786,1.9,3154,1.8,1,FALSE,26,14,Fake
Watches,1303.11,S625,1.8,3278,1.8,3,FALSE,21,11,Fake
Home,229.46,S997,1.4,902,2,4,TRUE,34,1,Fake
Electronics,406.61,S167,3.1,2256,1.9,5,FALSE,50,7,Fake
Clothing,759.69,S873,1.6,769,1.4,3,FALSE,62,12,Fake
Home,178.01,S802,3.1,169,1.6,4,TRUE,84,3,Fake
Electronics,870.6,S812,4.9,2944,1.8,1,TRUE,48,11,Fake
Footwear,1349.84,S560,4.9,4316,1.7,3,FALSE,50,10,Fake
Footwear,439.51,S918,2.2,3718,1.2,3,TRUE,6,8,Fake
Watches,993.78,S100,1.2,1128,2.4,3,TRUE,11,12,Fake
Clothing,881.99,S182,2.2,263,2.9,3,TRUE,86,11,Fake
Watches,51.23,S672,1.1,3448,1.4,2,FALSE,31,10,Fake
Home,1260.41,S186,1.2,876,2.3,1,FALSE,72,8,Fake
Clothing,1343.63,S755,4.4,2464,3.5,1,FALSE,79,12,Fake
Electronics,612.79,S288,4.3,4478,2,5,FALSE,84,10,Fake
Clothing,285.36,S938,4,1971,1.7,5,TRUE,60,8,Fake
Electronics,744.52,S783,2.1,3160,3.8,1,FALSE,53,14,Fake
Watches,103.52,S771,1.6,4613,2.4,2,FALSE,84,5,Fake
Home,880.89,S949,2.6,368,1.1,2,TRUE,12,11,Fake
Watches,1142.26,S890,4.2,1938,1.4,2,FALSE,53,15,Fake
Watches,208.49,S752,3.3,1636,1.8,4,FALSE,86,5,Fake
Electronics,1163.83,S681,3.2,589,2.4,5,FALSE,24,14,Fake
Clothing,1333.16,S160,1.6,4481,4.3,3,TRUE,30,8,Fake
Clothing,916.13,S488,3.7,148,3.2,1,FALSE,48,12,Fake
Watches,215.28,S548,1.5,3012,2.4,3,FALSE,7,4,Fake
Watches,431.07,S421,2.4,2000,5,2,FALSE,61,11,Fake
Watches,1242.5,S186,1.2,4995,2.5,1,FALSE,49,8,Fake
